start_time,start_station_id,end_station_id,start_lat,start_lng,end_lat,end_lng,avgTemp,value,bike_rides_daily
2022-04-01,6033.626134755919,6025.251354839653,40.740347811253685,-73.9767035704844,40.74004735454433,-73.97698642825205,13.1,1.0,68421.0
2022-04-02,5947.652012985238,5938.249889274682,40.73748912783184,-73.97664399940753,40.73713960145261,-73.97678738154607,7.2,1.0,73160.0
2022-04-03,5952.129781179261,5950.141718589985,40.73771507426038,-73.97553557816664,40.73765416671212,-73.97527976392051,7.0,1.0,37108.0
2022-04-04,6047.778463325733,6044.799004342206,40.74080756843144,-73.976585944381,40.740713694657565,-73.9765898836369,7.6,1.0,68863.0
2022-04-05,6062.958758489578,6060.640135574538,40.74124920500663,-73.97707355545451,40.7411755705422,-73.97716904977534,9.7,1.0,72590.0
2022-04-06,6033.827041872379,6027.09425596099,40.74032800452198,-73.97688134680946,40.740166872066936,-73.97630710604854,8.6,1.0,48409.0
2022-04-07,6053.247321696749,6051.917341721929,40.74102785714132,-73.97589021769211,40.74086079021995,-73.97687145975377,9.1,1.0,35293.0
2022-04-08,6029.0107011849095,6020.722115137964,40.74025321276331,-73.97680038301563,40.73997106597092,-73.97710355102416,12.799999999999999,1.0,88109.0
2022-04-09,5955.073586022305,5945.590464732389,40.737797564938084,-73.97566829917999,40.73744035693767,-73.97605577451158,11.4,1.0,67250.0
2022-04-10,5972.712639988787,5966.7667498335495,40.738425853980495,-73.97547513224588,40.738214861866716,-73.97572729835277,8.6,1.0,57076.0
2022-04-11,6056.690008765988,6052.760057246839,40.74116001884892,-73.9768147615175,40.7410329575033,-73.9767467468645,8.8,1.0,75295.0
2022-04-12,6003.616750125724,5983.782678787359,40.73935842811217,-73.97770224832954,40.738736860208995,-73.97708114779351,13.400000000000002,1.0,93461.0
2022-04-13,6034.346189419051,6028.048529531031,40.74039413189868,-73.97733623740302,40.74015549645804,-73.97750196887667,15.4,1.0,98653.0
2022-04-14,6052.846029484844,6046.103585218236,40.7409782572964,-73.97726851024056,40.740718429413846,-73.97763266522092,16.3,1.0,90561.0
2022-04-15,6010.510368180813,5999.76706910941,40.73963213250517,-73.97695245985973,40.73924254550715,-73.97736316708229,15.7,1.0,99463.0
2022-04-16,5938.371070649724,5927.522550321669,40.737203679611866,-73.97607594848552,40.736801636726945,-73.97655908083975,15.7,1.0,82081.0
2022-04-17,5997.895066878805,5986.905962922533,40.73942309964585,-73.9747067526932,40.739013144863506,-73.9750255991072,8.3,1.0,54053.0
2022-04-18,6060.945700835695,6058.045307579181,40.74131150211391,-73.97640444305554,40.74116718842966,-73.97674905302598,7.900000000000001,1.0,55762.0
2022-04-19,6061.965699440448,6057.533968602238,40.741168488525396,-73.97723251022815,40.7410179639564,-73.97741264984819,7.6,1.0,58799.0
2022-04-20,6028.80351740161,6023.271346007158,40.74017109056773,-73.97760729200886,40.73998624731354,-73.9775726646626,9.4,1.0,85222.0
2022-04-21,6051.841004828548,6045.1683771675,40.74096914830077,-73.9773767006095,40.74073280904044,-73.97746218604728,10.6,1.0,77464.0
